report_text,report_type,location,department,activity,life_saving_rule,barrier_failure,potential_consequence,sif_label
A warning sign was faded at the warehouse entrance but the access route remained controlled. near the main work area,Unsafe Condition,Lakwa Production,Process Safety,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. reported by the field supervisor,Unsafe Act,Bongaigaon Refinery,Drilling,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. reported by the field supervisor,Unsafe Condition,Numaligarh Terminal,Maintenance,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. reported by the field supervisor,Near Miss,Duliajan Central,Maintenance,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. reported by the field supervisor,Incident,Bongaigaon Refinery,Maintenance,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. reported by the field supervisor,Unsafe Condition,Numaligarh Terminal,Electrical,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. reported by the field supervisor",Near Miss,Digboi Field,Electrical,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. reported by the field supervisor,Unsafe Act,Lakwa Production,Electrical,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. reported by the field supervisor,Unsafe Condition,Numaligarh Terminal,Production,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. before handover,Unsafe Act,Bongaigaon Refinery,Process Safety,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. before handover,Unsafe Condition,Jorhat Pipeline,Electrical,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. before handover,Near Miss,Numaligarh Terminal,Electrical,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. before handover,Incident,Lakwa Production,Process Safety,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. before handover,Unsafe Condition,Jorhat Pipeline,Electrical,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. before handover",Near Miss,Jorhat Pipeline,Projects,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. before handover,Unsafe Act,Lakwa Production,Logistics,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. before handover,Unsafe Condition,Lakwa Production,Drilling,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. during the morning shift,Unsafe Act,Duliajan Central,Logistics,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. during the morning shift,Unsafe Condition,Lakwa Production,Process Safety,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. during the morning shift,Near Miss,Digboi Field,Logistics,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. during the morning shift,Incident,Duliajan Central,Projects,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. during the morning shift,Unsafe Condition,Bongaigaon Refinery,Logistics,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. during the morning shift",Near Miss,Lakwa Production,Electrical,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. during the morning shift,Unsafe Act,Numaligarh Terminal,Electrical,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. during the morning shift,Unsafe Condition,Numaligarh Terminal,Logistics,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. during planned work,Unsafe Act,Lakwa Production,Projects,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. during planned work,Unsafe Condition,Duliajan Central,Maintenance,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. during planned work,Near Miss,Bongaigaon Refinery,Electrical,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. during planned work,Incident,Duliajan Central,Production,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. during planned work,Unsafe Condition,Jorhat Pipeline,Production,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. during planned work",Near Miss,Numaligarh Terminal,Process Safety,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. during planned work,Unsafe Act,Numaligarh Terminal,Projects,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. during planned work,Unsafe Condition,Numaligarh Terminal,Production,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. near the main work area,Unsafe Act,Duliajan Central,Projects,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. near the main work area,Unsafe Condition,Jorhat Pipeline,Production,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. near the main work area,Near Miss,Digboi Field,Projects,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. near the main work area,Incident,Duliajan Central,Projects,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. near the main work area,Unsafe Condition,Jorhat Pipeline,Projects,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. near the main work area",Near Miss,Lakwa Production,Logistics,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. near the main work area,Unsafe Act,Lakwa Production,Projects,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. near the main work area,Unsafe Condition,Jorhat Pipeline,Production,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. reported by the field supervisor,Unsafe Act,Duliajan Central,Process Safety,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. reported by the field supervisor,Unsafe Condition,Jorhat Pipeline,Drilling,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. reported by the field supervisor,Near Miss,Numaligarh Terminal,Logistics,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. reported by the field supervisor,Incident,Numaligarh Terminal,Logistics,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. reported by the field supervisor,Unsafe Condition,Digboi Field,Projects,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. reported by the field supervisor",Near Miss,Digboi Field,Production,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. reported by the field supervisor,Unsafe Act,Numaligarh Terminal,Projects,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. reported by the field supervisor,Unsafe Condition,Digboi Field,Logistics,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. before handover,Unsafe Act,Lakwa Production,Drilling,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. before handover,Unsafe Condition,Jorhat Pipeline,Drilling,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. before handover,Near Miss,Bongaigaon Refinery,Projects,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. before handover,Incident,Digboi Field,Logistics,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. before handover,Unsafe Condition,Bongaigaon Refinery,Projects,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. before handover",Near Miss,Guwahati Depot,Drilling,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. before handover,Unsafe Act,Digboi Field,Production,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. before handover,Unsafe Condition,Lakwa Production,Electrical,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. during the morning shift,Unsafe Act,Guwahati Depot,Production,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. during the morning shift,Unsafe Condition,Jorhat Pipeline,Process Safety,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. during the morning shift,Near Miss,Jorhat Pipeline,Projects,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. during the morning shift,Incident,Bongaigaon Refinery,Projects,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. during the morning shift,Unsafe Condition,Jorhat Pipeline,Logistics,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. during the morning shift",Near Miss,Jorhat Pipeline,Process Safety,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. during the morning shift,Unsafe Act,Bongaigaon Refinery,Drilling,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. during the morning shift,Unsafe Condition,Jorhat Pipeline,Projects,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. during planned work,Unsafe Act,Numaligarh Terminal,Electrical,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. during planned work,Unsafe Condition,Bongaigaon Refinery,Maintenance,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. during planned work,Near Miss,Numaligarh Terminal,Drilling,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. during planned work,Incident,Jorhat Pipeline,Drilling,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. during planned work,Unsafe Condition,Lakwa Production,Logistics,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. during planned work",Near Miss,Numaligarh Terminal,Production,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. during planned work,Unsafe Act,Lakwa Production,Logistics,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. during planned work,Unsafe Condition,Jorhat Pipeline,Projects,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. near the main work area,Unsafe Act,Jorhat Pipeline,Production,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. near the main work area,Unsafe Condition,Jorhat Pipeline,Process Safety,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. near the main work area,Near Miss,Numaligarh Terminal,Drilling,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. near the main work area,Incident,Duliajan Central,Drilling,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. near the main work area,Unsafe Condition,Numaligarh Terminal,Projects,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. near the main work area",Near Miss,Bongaigaon Refinery,Production,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. near the main work area,Unsafe Act,Numaligarh Terminal,Process Safety,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. near the main work area,Unsafe Condition,Duliajan Central,Drilling,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. reported by the field supervisor,Unsafe Act,Digboi Field,Projects,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. reported by the field supervisor,Unsafe Condition,Numaligarh Terminal,Maintenance,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. reported by the field supervisor,Near Miss,Bongaigaon Refinery,Production,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. reported by the field supervisor,Incident,Numaligarh Terminal,Maintenance,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. reported by the field supervisor,Unsafe Condition,Guwahati Depot,Maintenance,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. reported by the field supervisor",Near Miss,Numaligarh Terminal,Maintenance,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. reported by the field supervisor,Unsafe Act,Numaligarh Terminal,Production,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. reported by the field supervisor,Unsafe Condition,Numaligarh Terminal,Production,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. before handover,Unsafe Act,Numaligarh Terminal,Logistics,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. before handover,Unsafe Condition,Duliajan Central,Process Safety,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. before handover,Near Miss,Lakwa Production,Projects,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. before handover,Incident,Duliajan Central,Process Safety,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. before handover,Unsafe Condition,Duliajan Central,Electrical,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. before handover",Near Miss,Digboi Field,Drilling,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. before handover,Unsafe Act,Lakwa Production,Electrical,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. before handover,Unsafe Condition,Bongaigaon Refinery,Maintenance,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. during the morning shift,Unsafe Act,Numaligarh Terminal,Drilling,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. during the morning shift,Unsafe Condition,Duliajan Central,Process Safety,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. during the morning shift,Near Miss,Lakwa Production,Maintenance,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. during the morning shift,Incident,Bongaigaon Refinery,Drilling,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. during the morning shift,Unsafe Condition,Bongaigaon Refinery,Maintenance,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. during the morning shift",Near Miss,Lakwa Production,Drilling,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. during the morning shift,Unsafe Act,Duliajan Central,Projects,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. during the morning shift,Unsafe Condition,Jorhat Pipeline,Projects,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. during planned work,Unsafe Act,Duliajan Central,Maintenance,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. during planned work,Unsafe Condition,Guwahati Depot,Production,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. during planned work,Near Miss,Jorhat Pipeline,Process Safety,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. during planned work,Incident,Lakwa Production,Projects,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. during planned work,Unsafe Condition,Bongaigaon Refinery,Process Safety,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. during planned work",Near Miss,Lakwa Production,Electrical,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. during planned work,Unsafe Act,Duliajan Central,Projects,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. during planned work,Unsafe Condition,Digboi Field,Process Safety,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. near the main work area,Unsafe Act,Guwahati Depot,Production,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. near the main work area,Unsafe Condition,Guwahati Depot,Electrical,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. near the main work area,Near Miss,Duliajan Central,Process Safety,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. near the main work area,Incident,Digboi Field,Logistics,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. near the main work area,Unsafe Condition,Bongaigaon Refinery,Production,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. near the main work area",Near Miss,Lakwa Production,Logistics,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. near the main work area,Unsafe Act,Guwahati Depot,Projects,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. near the main work area,Unsafe Condition,Numaligarh Terminal,Logistics,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. reported by the field supervisor,Unsafe Act,Numaligarh Terminal,Process Safety,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. reported by the field supervisor,Unsafe Condition,Jorhat Pipeline,Maintenance,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. reported by the field supervisor,Near Miss,Numaligarh Terminal,Production,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. reported by the field supervisor,Incident,Bongaigaon Refinery,Projects,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. reported by the field supervisor,Unsafe Condition,Lakwa Production,Electrical,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. reported by the field supervisor",Near Miss,Digboi Field,Projects,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. reported by the field supervisor,Unsafe Act,Digboi Field,Maintenance,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. reported by the field supervisor,Unsafe Condition,Duliajan Central,Projects,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. before handover,Unsafe Act,Jorhat Pipeline,Process Safety,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. before handover,Unsafe Condition,Duliajan Central,Projects,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. before handover,Near Miss,Guwahati Depot,Drilling,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. before handover,Incident,Numaligarh Terminal,Electrical,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. before handover,Unsafe Condition,Guwahati Depot,Drilling,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. before handover",Near Miss,Numaligarh Terminal,Drilling,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. before handover,Unsafe Act,Duliajan Central,Drilling,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. before handover,Unsafe Condition,Bongaigaon Refinery,Electrical,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. during the morning shift,Unsafe Act,Digboi Field,Maintenance,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. during the morning shift,Unsafe Condition,Duliajan Central,Logistics,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. during the morning shift,Near Miss,Duliajan Central,Electrical,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. during the morning shift,Incident,Guwahati Depot,Electrical,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
